Region_Fire,Date_Fire,Year_Fire,Month_Fire,Estimated_fire_area,Count_Fire,Mean_estimated_fire_brightness,Mean_estimated_fire_radiative_power
NSW,"2005-01-04 00:00:00",2005,1,8.68,3,312.2666667,42.4
NSW,"2005-01-05 00:00:00",2005,1,16.61125,8,322.475,62.3625
NSW,"2005-01-06 00:00:00",2005,1,5.52,3,325.2666667,38.4
NSW,"2005-01-07 00:00:00",2005,1,6.264,5,313.87,33.8
NSW,"2005-01-08 00:00:00",2005,1,5.4,3,337.3833333,122.5333333
NSW,"2005-01-09 00:00:00",2005,1,13.72142857,7,314.7571429,64.54285714
NSW,"2005-01-10 00:00:00",2005,1,16.62545455,11,324.8,58.55454545
NSW,"2005-01-11 00:00:00",2005,1,32.784375,16,318.446875,66.8125
NSW,"2005-01-12 00:00:00",2005,1,16.48615385,13,323.2384615,40.60769231
NSW,"2005-01-13 00:00:00",2005,1,42.64,15,325.3766667,87.57333333
NSW,"2005-01-14 00:00:00",2005,1,37.12,10,324.835,98.65
NSW,"2005-01-15 00:00:00",2005,1,4.3,4,326.9625,23.5
NSW,"2005-01-16 00:00:00",2005,1,7.98,3,342.2833333,241.0666667
NSW,"2005-01-17 00:00:00",2005,1,5.5,4,331.325,77.9
NSW,"2005-01-18 00:00:00",2005,1,14.30555556,9,319.3555556,44.44444444
NSW,"2005-01-19 00:00:00",2005,1,8.375,4,307.1375,50.125
NSW,"2005-01-20 00:00:00",2005,1,24.2,8,314.76875,130.325
NSW,"2005-01-21 00:00:00",2005,1,7.68,6,317.2833333,30.83333333
NSW,"2005-01-22 00:00:00",2005,1,4,4,336.35,85.475
NSW,"2005-01-25 00:00:00",2005,1,4.5,2,334.8,118.65
NSW,"2005-01-26 00:00:00",2005,1,19.81875,8,303.78125,35.75
NSW,"2005-01-27 00:00:00",2005,1,18.91111111,9,305.9888889,36.11111111
NSW,"2005-01-28 00:00:00",2005,1,12.87142857,7,318.55,43.45714286
NSW,"2005-01-29 00:00:00",2005,1,31.02363636,11,319.5227273,92.24545455
NSW,"2005-01-30 00:00:00",2005,1,12.21285714,7,320.6785714,48.3
NSW,"2005-01-31 00:00:00",2005,1,8.486666667,6,331.15,50.86666667
NSW,"2005-02-01 00:00:00",2005,2,6.586666667,3,319.3833333,40.1
NSW,"2005-02-03 00:00:00",2005,2,3.2,3,304.7333333,28.36666667
NSW,"2005-02-04 00:00:00",2005,2,7.505714286,7,329.0214286,34.14285714
NSW,"2005-02-05 00:00:00",2005,2,25.68909091,11,321.4181818,61.27272727
NSW,"2005-02-06 00:00:00",2005,2,14.43,10,333.75,84.6
NSW,"2005-02-07 00:00:00",2005,2,20.915,12,327.0583333,51.975
NSW,"2005-02-08 00:00:00",2005,2,12.08666667,9,331.1611111,180.3666667
NSW,"2005-02-10 00:00:00",2005,2,10.6425,8,305.5125,19.8625
NSW,"2005-02-11 00:00:00",2005,2,10.98666667,9,332.7055556,72.38888889
NSW,"2005-02-12 00:00:00",2005,2,11.96333333,9,321.5222222,67.21111111
NSW,"2005-02-13 00:00:00",2005,2,4.306666667,3,310.2666667,26.56666667
NSW,"2005-02-14 00:00:00",2005,2,2,2,323.25,21
NSW,"2005-02-15 00:00:00",2005,2,7.41,5,336.66,69.94
NSW,"2005-02-16 00:00:00",2005,2,9.66,8,316.525,36.8625
NSW,"2005-02-17 00:00:00",2005,2,28.38461538,13,316.6615385,60.43076923
NSW,"2005-02-18 00:00:00",2005,2,15.87818182,11,335.8636364,135.4727273
NSW,"2005-02-19 00:00:00",2005,2,40.46,7,329.5857143,422.8
NSW,"2005-02-21 00:00:00",2005,2,43.90571429,7,318.3357143,244.2285714
NSW,"2005-02-22 00:00:00",2005,2,15.94285714,14,317.4107143,27.15714286
NSW,"2005-02-23 00:00:00",2005,2,52.72914286,35,323.8485714,57.87428571
NSW,"2005-02-24 00:00:00",2005,2,9.066666667,6,319.3583333,55.8
NSW,"2005-02-25 00:00:00",2005,2,2,2,345.775,177.95
NSW,"2005-02-26 00:00:00",2005,2,1,1,303.15,8
NSW,"2005-02-28 00:00:00",2005,2,76.3776,25,319.014,65.976
NSW,"2005-03-01 00:00:00",2005,3,54.96195122,41,330.2719512,70.99268293
NSW,"2005-03-02 00:00:00",2005,3,117.0517241,29,318.7741379,130.5137931
NSW,"2005-03-03 00:00:00",2005,3,22.72941176,17,328.0529412,97.00588235
NSW,"2005-03-04 00:00:00",2005,3,69.40606061,33,327.4439394,143.7333333
NSW,"2005-03-05 00:00:00",2005,3,37.028125,16,318.690625,80.775
NSW,"2005-03-06 00:00:00",2005,3,8.668571429,7,331.7785714,55.12857143
NSW,"2005-03-07 00:00:00",2005,3,88.12777778,18,323.4666667,163.8833333
NSW,"2005-03-08 00:00:00",2005,3,37.32,29,329.3672414,59.68965517
NSW,"2005-03-09 00:00:00",2005,3,76.428,30,324.9866667,140.09
NSW,"2005-03-10 00:00:00",2005,3,68.112,40,328.77875,72.21
NSW,"2005-03-11 00:00:00",2005,3,83.0627451,51,324.1372549,51.27254902
NSW,"2005-03-12 00:00:00",2005,3,20.12769231,13,320.3961538,51.77692308
NSW,"2005-03-13 00:00:00",2005,3,5.0525,4,315.6,55.75
NSW,"2005-03-14 00:00:00",2005,3,90.19705882,34,320.075,85.45
NSW,"2005-03-15 00:00:00",2005,3,56.286,45,325.5722222,45.75111111
NSW,"2005-03-16 00:00:00",2005,3,95.84714286,28,326.4589286,209.8571429
NSW,"2005-03-17 00:00:00",2005,3,23.80714286,14,313.8178571,59.71428571
NSW,"2005-03-18 00:00:00",2005,3,41.055,26,322.3096154,53.30384615
NSW,"2005-03-19 00:00:00",2005,3,2.99,2,312.2,25.45
NSW,"2005-03-20 00:00:00",2005,3,21.63333333,9,327.1555556,79.74444444
NSW,"2005-03-21 00:00:00",2005,3,61.22470588,17,316.4058824,87.25882353
NSW,"2005-03-22 00:00:00",2005,3,36.838125,32,324.1453125,51.95
NSW,"2005-03-23 00:00:00",2005,3,137.4285714,42,316.1583333,96.60714286
NSW,"2005-03-24 00:00:00",2005,3,52.624,45,323.7577778,45.51555556
NSW,"2005-03-25 00:00:00",2005,3,18.76,6,318.7583333,58.01666667
NSW,"2005-03-26 00:00:00",2005,3,6.05,5,317.37,28.88
NSW,"2005-03-28 00:00:00",2005,3,3.105,2,324.95,81.95
NSW,"2005-03-29 00:00:00",2005,3,23.84,12,324.2125,103.7416667
NSW,"2005-03-30 00:00:00",2005,3,87.76125,16,318.81875,218.09375
NSW,"2005-03-31 00:00:00",2005,3,30.59777778,27,323.1222222,41.14444444
NSW,"2005-04-01 00:00:00",2005,4,225.0862069,58,319.0931034,125.2
NSW,"2005-04-02 00:00:00",2005,4,47.17026316,38,323.3828947,52.73947368
NSW,"2005-04-03 00:00:00",2005,4,34.97142857,14,315.575,54.22857143
NSW,"2005-04-04 00:00:00",2005,4,12.0375,8,318.66875,48.7875
NSW,"2005-04-05 00:00:00",2005,4,53.361,40,321.2925,49.83
NSW,"2005-04-06 00:00:00",2005,4,75.81,31,314.0725806,135.1225806
